Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Aang's Journey,TLA,Avatar: The Last Airbender,1,normal,common,10,108119,5e51f727-5a9b-4bc7-83a9-dbcf1c933e15,0.29,false,false,near_mint,en,AUD,2026-09-01T10:47:24.059Z
Energybending,TLA,Avatar: The Last Airbender,2,normal,uncommon,5,109456,6c085441-e023-4032-89a0-d24ce5060ac3,0.35,false,false,near_mint,en,AUD,2026-09-01T10:48:13.700Z
Zuko's Exile,TLA,Avatar: The Last Airbender,3,normal,common,16,109489,9090b055-3406-4fed-a8c6-3f6353a9600e,0.26,false,false,near_mint,en,AUD,2026-09-01T10:49:03.809Z
"Aang, the Last Airbender",TLA,Avatar: The Last Airbender,4,normal,uncommon,7,108175,245e008c-e073-443f-9592-6f628c0026ec,0.29,false,false,near_mint,en,AUD,2026-09-01T10:49:43.919Z
Airbender's Reversal,TLA,Avatar: The Last Airbender,7,normal,uncommon,1,109715,6b7078e4-2892-4b5f-83ab-90369e0d6dba,0.29,false,false,near_mint,en,AUD,2026-09-01T10:51:04.541Z
Airbending Lesson,TLA,Avatar: The Last Airbender,8,normal,common,11,108292,e2bcd0a6-e94d-4a21-a334-a57459c1b8cc,0.33,false,false,near_mint,en,AUD,2026-09-01T10:51:35.181Z
"Appa, Loyal Sky Bison",TLA,Avatar: The Last Airbender,9,normal,uncommon,8,109509,a9b2a843-c6fe-4d19-801e-1538e4381ab0,0.25,false,false,near_mint,en,AUD,2026-09-01T10:52:25.842Z
Avatar Enthusiasts,TLA,Avatar: The Last Airbender,11,normal,common,11,108124,7292e5f2-d5a1-4e39-8f75-eba471819f04,0.25,false,false,near_mint,en,AUD,2026-09-01T10:53:23.788Z
Compassionate Healer,TLA,Avatar: The Last Airbender,13,normal,common,8,109483,88d5f8fd-d4de-4e64-9b74-e53719ffbcdc,0.29,false,false,near_mint,en,AUD,2026-09-01T10:54:26.315Z
Curious Farm Animals,TLA,Avatar: The Last Airbender,14,normal,common,6,109654,2402d759-84b6-41d2-ad78-9333974e9222,0.33,false,false,near_mint,en,AUD,2026-09-01T10:54:56.953Z
Destined Confrontation,TLA,Avatar: The Last Airbender,15,normal,uncommon,2,109803,d4605cf7-03bc-4a7f-b50a-49b83b09b54d,0.42,false,false,near_mint,en,AUD,2026-09-01T10:55:25.477Z
Earth Kingdom Jailer,TLA,Avatar: The Last Airbender,16,normal,uncommon,4,109746,9207362c-3605-4794-803f-ad1d0175fcca,0.28,false,false,near_mint,en,AUD,2026-09-01T10:55:59.476Z
Earth Kingdom Protectors,TLA,Avatar: The Last Airbender,17,normal,uncommon,5,109801,d263472e-1d75-4cb9-8f7b-986fa22bc841,0.35,false,false,near_mint,en,AUD,2026-09-01T10:56:23.541Z
Enter the Avatar State,TLA,Avatar: The Last Airbender,18,normal,uncommon,1,109766,a8f3d2cb-d073-4df8-8769-49612628a377,0.46,false,false,near_mint,en,AUD,2026-09-01T10:56:48.703Z
Fancy Footwork,TLA,Avatar: The Last Airbender,19,normal,uncommon,6,109500,9c59f8c5-4063-4e5a-b684-fde175c4a981,0.26,false,false,near_mint,en,AUD,2026-09-01T10:57:19.607Z
Gather the White Lotus,TLA,Avatar: The Last Airbender,20,normal,uncommon,2,109495,96e2b3d0-f060-4f3c-9d12-a0444b202008,0.26,false,false,near_mint,en,AUD,2026-09-01T10:57:42.390Z
Glider Kids,TLA,Avatar: The Last Airbender,21,normal,common,14,108154,0613afb5-4cee-4132-8adf-404767ed8d07,0.17,false,false,near_mint,en,AUD,2026-09-01T10:58:26.194Z
Glider Staff,TLA,Avatar: The Last Airbender,22,normal,uncommon,9,109467,7517f2eb-a24d-49f6-82bf-08de55d3789a,0.36,false,false,near_mint,en,AUD,2026-09-01T10:59:03.423Z
Invasion Reinforcements,TLA,Avatar: The Last Airbender,24,normal,uncommon,6,109783,b8845bba-d116-43cd-8ae0-e553f3324d66,0.36,false,false,near_mint,en,AUD,2026-09-01T10:59:56.944Z
Jeong Jeong's Deserters,TLA,Avatar: The Last Airbender,25,normal,common,12,108152,060966f9-5e56-4512-9ef3-2b216daf093c,0.19,false,false,near_mint,en,AUD,2026-09-01T11:00:44.389Z
